|Unnamed: 0.2|Unnamed: 0.1|Unnamed: 0|name|id|year|year2|platform|img|gameCount|rarity
11|24142|24142|24142|Sesame Street Sports|29509.0||2001.0|PS1, GBC|https://www.giantbomb.com/a/uploads/original/3/39162/1225035-sesspo.jpg|2916|silver
12|25548|25548|25548|A Visit to Sesame Street: Numbers|57148.0|1992.0||3DO, CDI, PC|https://www.giantbomb.com/a/uploads/original/16/164924/2902328-8938778343-latest|1000|silver
13|25604|25604|25604|A Visit to Sesame Street: Letters|30617.0||1992.0|CDI, PC|https://www.giantbomb.com/a/uploads/original/0/6384/1320844-sesamestreetletters.jpg|1000|silver
14|27672|27672|27672|Sesame Street: Cookie's Counting Carnival|31991.0||2010.0|Wii|https://www.giantbomb.com/a/uploads/original/1/14163/1421728-ss.jpg|1562|silver
15|27724|27724|27724|Sesame Street: Elmo's A-to-Zoo Adventure|34520.0||2010.0|Wii, DS, PC|https://www.giantbomb.com/a/uploads/original/16/164924/2860853-5491358750-15715.jpg|2670|silver
16|27840|27840|27840|Sesame Street: Elmo's Musical Monsterpiece|51866.0||2012.0|Wii, DS|https://www.giantbomb.com/a/uploads/original/30/302687/2805506-elmo%20musical%20monsterpiece.jpg|2670|silver
17|27892|27892|27892|Sesame Street: Ready, Set, Grover!|79982.0||2011.0|Wii, DS|https://www.giantbomb.com/a/uploads/original/46/462814/3229725-5281222410-51aPQ.jpg|2670|silver
18|32813|32813|32813|Sesame Street: Elmo's 123s|89073.0|1999.0||GBC|https://www.giantbomb.com/a/uploads/original/10/103881/3467017-41331_front.jpg|772|gold
19|32814|32814|32814|Sesame Street: Elmo's ABCs|89074.0|1999.0||GBC|https://www.giantbomb.com/a/uploads/original/10/103881/3467018-75250_front.jpg|772|gold
20|33156|33156|33156|Sesame Street: Counting Cafe|29899.0||1994.0|GEN|https://www.giantbomb.com/a/uploads/original/9/93770/1794821-sesame_street.jpg|986|gold
21|33796|33796|33796|Sesame Street: Bert & Ernie's Imagination Adventure|24259.0||2005.0|VSML|https://www.giantbomb.com/a/uploads/original/1/14761/773754-bert_and_ernie_cartridge_web2.jpg|37|rainbow
22|32603|32603|32603|Blue's Clues: Blue's Alphabet Book|36429.0||2001.0|GBC|https://www.giantbomb.com/a/uploads/original/10/103881/1893988-bc.jpg|772|gold
23|33798|33798|33798|Blue's Clues Collection Day|24261.0|||VSML|https://www.giantbomb.com/a/uploads/original/1/14761/773784-blue_clues_cartridge_web2.jpg|37|rainbow
